epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,583.683,1.36825,0.99563,2.54439,0.96108,0.90625,0.96041,0.90672,0.8835,0.55439,2.17014,0.0006338,0.0006338,0.0006338
71,592.086,1.24222,0.91258,2.45925,0.92032,0.9375,0.95639,0.90465,0.91895,0.59071,2.25899,0.000614,0.000614,0.000614
72,600.607,1.37176,0.97447,2.52414,0.96754,0.93164,0.95227,0.90378,0.79621,0.60184,2.21644,0.0005942,0.0005942,0.0005942
73,609.047,1.33767,0.95442,2.54707,0.99421,0.9375,0.98326,0.90738,0.79747,0.53579,2.15355,0.0005744,0.0005744,0.0005744
74,617.583,1.26185,1.0573,2.51208,0.96687,0.9375,0.98235,0.9094,0.84762,0.58855,2.16668,0.0005546,0.0005546,0.0005546
75,626.052,1.24051,0.95695,2.44104,0.96845,0.95953,0.98355,0.90958,0.84028,0.5844,2.15091,0.0005348,0.0005348,0.0005348
76,634.36,1.24742,0.95734,2.37322,0.93684,0.9273,0.95754,0.90303,0.8658,0.61163,2.18668,0.000515,0.000515,0.000515
77,642.702,1.29638,0.90638,2.49999,0.96469,0.9375,0.96612,0.91313,0.66892,0.53396,2.04014,0.0004952,0.0004952,0.0004952
78,651.126,1.16699,0.8862,2.41426,0.96761,0.93372,0.97097,0.92973,0.65352,0.57579,1.98689,0.0004754,0.0004754,0.0004754
79,659.777,1.23395,0.99332,2.5072,0.99614,0.9375,0.97526,0.93465,0.68145,0.5947,1.99771,0.0004556,0.0004556,0.0004556
80,668.473,1.21563,0.97512,2.37395,0.96661,0.90461,0.97137,0.92001,0.72367,0.59992,2.0367,0.0004358,0.0004358,0.0004358
81,676.909,1.14523,0.82749,2.38507,0.93319,0.96875,0.97105,0.93114,0.65703,0.54829,1.99079,0.000416,0.000416,0.000416
82,685.256,1.14042,0.85159,2.3755,0.96859,0.96367,0.97169,0.92803,0.65891,0.44339,2.00135,0.0003962,0.0003962,0.0003962
83,693.896,1.10902,0.78011,2.30962,0.93326,0.90625,0.96587,0.92209,0.69394,0.58914,2.05912,0.0003764,0.0003764,0.0003764
84,702.476,1.24095,0.91145,2.43055,0.9367,0.96875,0.97116,0.9183,0.76097,0.49899,2.12998,0.0003566,0.0003566,0.0003566
85,710.616,1.13427,0.84836,2.33668,0.96242,0.90625,0.9695,0.92666,0.70559,0.48179,2.10477,0.0003368,0.0003368,0.0003368
86,718.964,1.10162,0.76675,2.34897,0.96771,0.96875,0.97543,0.93543,0.69683,0.46706,2.1013,0.000317,0.000317,0.000317
