epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,10156.1,0.57241,0.25423,0.84113,0.99819,0.99935,0.99453,0.89864,0.52299,0.2077,0.82951,0.0008912,0.0008912,0.0008912
58,10328.5,0.56973,0.25206,0.84244,0.9981,0.99954,0.99461,0.89888,0.52563,0.20592,0.83119,0.0008714,0.0008714,0.0008714
59,10507,0.56863,0.25054,0.84136,0.99705,0.99946,0.99468,0.89927,0.52264,0.20631,0.83019,0.0008516,0.0008516,0.0008516
60,10682.4,0.56662,0.24823,0.84064,0.99723,0.99954,0.99463,0.89886,0.52647,0.20588,0.83087,0.0008318,0.0008318,0.0008318
61,10855.9,0.56522,0.24565,0.84024,0.99727,0.99954,0.99459,0.90144,0.51988,0.20262,0.82846,0.000812,0.000812,0.000812
62,11036.6,0.56574,0.24816,0.8398,0.99797,0.99927,0.99464,0.90182,0.5159,0.20326,0.82685,0.0007922,0.0007922,0.0007922
63,11221.3,0.56196,0.24603,0.84074,0.99705,0.99967,0.99459,0.89785,0.52771,0.20575,0.83256,0.0007724,0.0007724,0.0007724
64,11406.7,0.56457,0.24671,0.84018,0.99751,0.99947,0.99456,0.90145,0.51759,0.20236,0.82732,0.0007526,0.0007526,0.0007526
65,11587,0.55676,0.24199,0.83808,0.99775,0.99963,0.99459,0.90231,0.51515,0.20063,0.82687,0.0007328,0.0007328,0.0007328
66,11758.9,0.55769,0.24328,0.83748,0.99766,0.99935,0.99457,0.90239,0.51476,0.20073,0.82681,0.000713,0.000713,0.000713
67,11930.9,0.55846,0.24297,0.83844,0.99752,0.99954,0.99449,0.90144,0.51819,0.20068,0.82824,0.0006932,0.0006932,0.0006932
68,12108.5,0.55624,0.24088,0.83737,0.99739,0.99926,0.99455,0.90246,0.51163,0.1986,0.82629,0.0006734,0.0006734,0.0006734
69,12281.3,0.55422,0.23881,0.83873,0.99765,0.99954,0.99454,0.90264,0.51209,0.19851,0.82699,0.0006536,0.0006536,0.0006536
70,12454.6,0.55398,0.23899,0.83831,0.99742,0.99983,0.99458,0.90078,0.5185,0.19951,0.83027,0.0006338,0.0006338,0.0006338
71,12636.7,0.55131,0.23991,0.83618,0.99788,0.99946,0.9946,0.90294,0.5127,0.19773,0.82645,0.000614,0.000614,0.000614
72,12824.1,0.54826,0.23831,0.83553,0.9976,0.99954,0.99463,0.90255,0.51206,0.19878,0.82652,0.0005942,0.0005942,0.0005942
